Date,FB,GOOG,NFLX,AMZN,AAPL,FB,GOOG,NFLX,AMZN,AAPL
2019/6/4,167.5,1053.050049,353.399994,1729.560059,179.639999,0.020202744,0.016101654,0.048616124,0.02154813,0.035930629
2019/6/5,168.169998,1042.219971,355.730011,1738.5,182.539993,0.003992009,-0.010337736,0.006571504,0.005155597,0.016014446
2019/6/6,168.330002,1044.339966,357.130005,1754.359985,185.220001,0.00095099,0.002032049,0.003927828,0.009081437,0.014575024
2019/6/7,173.350006,1066.040039,360.869995,1804.030029,190.149994,0.029386356,0.020565811,0.010417894,0.027918958,0.02626889
2019/6/10,174.820007,1080.380005,352.01001,1860.630005,192.580002,0.008444206,0.013361951,-0.024858156,0.030892075,0.012698459
2019/6/11,178.100006,1078.719971,351.269989,1863.699951,194.809998,0.018588311,-0.00153771,-0.002104485,0.00164859,0.011513052
2019/6/12,175.039993,1077.030029,345.559998,1855.319946,194.190002,-0.017330745,-0.001567846,-0.016388844,-0.004506574,-0.003187643
2019/6/13,177.470001,1088.77002,343.429993,1870.300049,194.149994,0.013787107,0.010841357,-0.006182998,0.008041713,-0.000206046
2019/6/14,181.330002,1085.349976,339.730011,1869.670044,192.740005,0.021517001,-0.003146144,-0.010832069,-0.000336904,-0.007288869
2019/6/17,189.009995,1092.5,350.619995,1886.030029,193.889999,0.041481311,0.006566154,0.031551785,0.008712138,0.005948826
2019/6/18,188.470001,1103.599976,357.119995,1901.369995,198.449997,-0.002861049,0.010108894,0.018368844,0.00810057,0.023246181
2019/6/19,187.479996,1102.329956,363.519989,1908.790039,197.869995,-0.005266697,-0.00115146,0.01776244,0.003894878,-0.00292694
2019/6/20,189.529999,1111.420044,365.209991,1918.189941,199.460007,0.010875166,0.008212435,0.00463822,0.004912448,0.008003526
2019/6/21,191.139999,1121.880005,369.209991,1911.300049,198.779999,0.008458821,0.009367337,0.010893058,-0.003598338,-0.00341507
2019/6/24,192.600006,1115.52002,371.040009,1913.900024,198.580002,0.007609392,-0.005685172,0.004944334,0.001359393,-0.001006629
2019/6/25,188.839996,1086.349976,360.299988,1878.27002,195.570007,-0.019715456,-0.026497251,-0.029372913,-0.018791907,-0.015273644
2019/6/26,187.660004,1079.800049,362.200012,1897.829956,199.800003,-0.006268238,-0.006047547,0.005259594,0.010359954,0.021398474
2019/6/27,189.5,1076.01001,370.019989,1904.280029,199.740005,0.009757188,-0.00351612,0.02136045,0.003392895,-0.000300335
2019/6/28,193,1080.910034,367.320007,1893.630005,197.919998,0.018301164,0.004543546,-0.007323607,-0.005608375,-0.009153647
2019/7/1,193,1097.949951,374.600006,1922.189941,201.550003,0,0.01564145,0.019625384,0.014969506,0.018174606
2019/7/2,195,1111.25,375.429993,1934.310059,202.729996,0.01030937,0.012040748,0.002213211,0.006285574,0.00583752
2019/7/3,197.199997,1121.579956,381.720001,1939,204.410004,0.011218868,0.009252858,0.016615341,0.002421672,0.008252776
2019/7/5,196.399994,1131.589966,380.549988,1942.910034,204.229996,-0.004065062,0.008885327,-0.003069815,0.00201449,-0.00088101
2019/7/8,195.759995,1116.349976,376.160004,1952.319946,200.020004,-0.003263972,-0.01355928,-0.011602948,0.004831515,-0.020829409
2019/7/9,199.210007,1124.829956,379.929993,1988.300049,201.240005,0.017470186,0.007567461,0.009972411,0.018261646,0.006080869
2019/7/10,202.729996,1140.47998,381,2017.410034,203.229996,0.017515445,0.013817335,0.002812368,0.0145345,0.009840072
2019/7/11,201.229996,1144.209961,379.5,2001.069946,201.75,-0.007426512,0.0032652,-0.003944778,-0.008132517,-0.007309016
2019/7/12,204.869995,1144.900024,373.25,2011,203.300003,0.017927095,0.000602909,-0.01660616,0.0049501,0.007653428
2019/7/15,203.910004,1150.339966,366.600006,2020.98999,205.210007,-0.004696868,0.004740203,-0.017977085,0.004955375,0.009351144
2019/7/16,203.839996,1153.579956,365.98999,2009.900024,204.5,-0.000343387,0.002812591,-0.001665368,-0.005502504,-0.003465904
2019/7/17,201.800003,1146.349976,362.440002,1992.030029,203.350006,-0.01005823,-0.006287151,-0.009747034,-0.008930748,-0.005639314
2019/7/18,200.779999,1146.329956,325.209991,1977.900024,205.660004,-0.005067347,-1.74643E-05,-0.108387849,-0.007118546,0.011295677
2019/7/19,198.360001,1130.099976,315.100006,1964.52002,202.589996,-0.01212621,-0.014259393,-0.031581032,-0.006787737,-0.015040127
2019/7/22,202.320007,1138.069946,310.619995,1985.630005,207.220001,0.01976707,0.007027695,-0.014319784,0.010688296,0.022596823
2019/7/23,202.360001,1146.209961,307.299988,1994.48999,208.839996,0.000197657,0.007127016,-0.010745854,0.004452127,0.007787354
2019/7/24,204.660004,1137.810059,317.940002,2000.810059,208.669998,0.011301791,-0.0073554,0.034038262,0.003163755,-0.000814342
